original_title,overview,year,genre
Pleasure Cruise,"Roland Young et Geneviève Tobin sont mariés depuis un an, et ils ont l'impression de s'éloigner dans leur mariage.Ils décident qu'ils retireront des vacances séparées les uns des autres pour régler le mariage.Tobin décide de faire une croisière de plaisir, et à bord de nombreux hommes disponibles commencent à la frapper, et elle commence à envisager d'avoir une baisse rapide de la fling avec l'un des hommes.",1933,Romance
Voice from the Stone,"Situé dans les années 1950 en Toscane, la voix de la pierre est l'histoire obsédante et pleine de suspense de Verena, une infirmière solennelle dessinée pour aider un jeune garçon qui est devenu silencieux depuis le passage soudain de sa mère.",2017,Romance
The Hired Hand,"Harry Collings rentre chez lui dans sa ferme après avoir dérivé avec son ami, Arch.Sa femme, qui l'avait abandonné, lui permet à contrecœur de rester et croit bientôt que tout ira bien.Mais alors Harry doit prendre une décision difficile concernant sa loyauté et ses priorités.",1971,Western
Susannah of the Mounties,"Ce drame familial classique met en vedette Shirley Temple comme la jeune orpheline Susannah Sheldon, la seule survivante d'une attaque indienne brutale qui s'est liée d'amitié par la montagne canadienne Angus Montague (Randolph Scott) et sa petite amie, Vicky (Margaret Lockwood).Le couple prend Susannah sous leur aile et apprend bientôt qu'avoir un enfant précoce peut être utile;Lorsque les Indiens reviennent, la fille utilise son charme pour négocier la paix.Shirley est la survivante orpheline d'une attaque indienne dans l'Occident canadien.Une gendarme et sa petite amie l'emmène ...",1939,Western
Cheyenne Autumn,Un capitaine de cavalerie réticent doit suivre une tribu provocante de Cheyennes migrate.,1964,Western
LelleBelle,"Belle, 19 ans, s'entraîne à jouer du violon avec diligence, mais elle est incapable de transmettre sa musique avec une nuance sensible.Sa vie change lorsqu'elle découvre que le désir sexuel stimule la passion dans sa musique.",2010,Romance
Groupies bleiben nicht zum Frühstück,Une connexion amoureuse clique pour Lila lorsqu'elle revient à Berlin et rencontre Christopher - ne réalisant jamais qu'elle est tombée pour une rock star qui a signé un contrat pour rester célibataire à vie.,2010,Romance
Echo Park,"Désespéré de se promener de la riche encoche de Beverly Hills parfaite, Sophie se déplace à travers la ville vers un autre monde: Echo Park.Elle établit rapidement une connexion inattendue avec Alex, un beau voisin et expatrié britannique qui vend à contrecœur sa maison bien-aimée pour retourner à Londres.Au fil de l'été, une romance tirée par l'incertitude les oblige à réévaluer où chacun appartient.",2014,Romance
The Great Scout & Cathouse Thursday,"Sam Longwood, un homme frontalier qui a connu des jours meilleurs, espionne le partenaire de la mine d'or, Jack Colby, qui s'est enfui avec toute l'or d'une mine qu'ils prospectaient quinze ans plus tôt.Il raconte à ses autres partenaires de cette époque, Joe Knox et Billy, et ils confrontent Colby à exiger non seulement les mille dollars qu'il a pris, mais un ajout de cinquante-neuf mille pour leurs ennuis.Après avoir été contrecarré dans cette tentative, ils, et une pute éventuelle nommée jeudi, élaborent un plan pour kiler la femme de Colby, Nancy Sue, qui est coïncidé la vieille flamme de Sam, mais qui trouve que Nancy Sue n'est pas la douce fille dont Sam se souvient.",1976,Western
The Man Who Shot Liberty Valance,"Un sénateur, qui est devenu célèbre pour avoir tué un hors-la-loi notoire, revient pour les funérailles d'un vieil ami et dit la vérité sur son acte.",1962,Western
Itinéraire bis,"Jean, 35 ans, vit toujours avec sa mère dans un petit village en Corse et travaille comme cuisinier dans le restaurant de la famille.Son avenir, à son grand désespoir, est tout tracé: il reprendra le restaurant.Mais un jour, Nora, une femme jeune et énergique, est jetée dans la mer d'un yacht de course.Elle se lave sur la plage aux pieds de Jean - Adventure a enfin frappé à sa porte.",2011,Romance
The Wedding Pact,"Deux meilleurs amis du collège Mitch et Elizabeth concluent un pacte que si dans dix ans après l'obtention du diplôme, ils ne sont pas mariés, ils se marieront.Dix ans plus tard, Mitch (toujours célibataire) découvre qu'Elizabeth ne s'est jamais mariée, alors il décide de voyager à travers le pays, de la trouver et de suivre leur pacte.Ce qu'il réalise bientôt, c'est que ce ne sera pas simple comme il le pensait.",2014,Romance
Sing Street,Un garçon grandissant à Dublin dans les années 1980 échappe à sa vie de famille tendue en commençant un groupe pour impressionner la mystérieuse fille qu'il aime.,2016,Romance
100% లవ్,Balu (Naga Chaitanya) est un étudiant brillant et est toujours en tête de sa classe.Maha Lakshmi (Tamanna) est Maradalu de Balu et elle vient du village et reste dans la maison de Balu pour faire son diplôme dans le même collège.Balu a l'ego typique possédé par les rangs des États et il en est obsédé.Ses études sont dérangées par l'entrée à Maha Lakshmi alors qu'elle commence à le dominer sur une période de temps.Cela conduit à des différences et à des affrontements d'ego entre Balu et Maha Lakshmi.Il y a aussi une sous-intrigue de deux grands-parents séparés.Le reste de l'histoire concerne la façon dont Balu et Mahalakshmi se rendent compte qu'ils sont faits l'un pour l'autre.,2011,Romance
iGirl,"Evan, Johnny et Irwin sont les meilleurs amis depuis l'enfance.Un jour, tous les trois sont jetés par leurs copines.Bien que ivre, Evan rencontre un site Web appelé «Get Your Dream Igirl».Tout ce qu'il a besoin de faire est d'entrer dans les critères de sa fille de rêve et sur le paiement, il obtiendra ce qu'il veut. Sur une impulsion, Evan jette dans ses économies de vie.Il reçoit un colis contenant des parties d'un modèle humain, qu'il rassemble dans une figure de femme.Le lendemain, il trouve que le mannequin est vivant…",2016,Romance
Kid Vengeance,"L'une des deux coproductions italiennes-israéliennes de 1976 de 1976 avec Lee Van Cleef et Leif Garrett (Gianfranco Parolini Pistola di Dio était l'autre), ce spaghetti Western a en fait été abattu au Moyen-Orient par le réalisateur américain Joseph Manduke.La pop star Garrett joue Tom, une adolescente qui fait équipe avec un armoir noir nommé Isaac (Jim Brown) pour venger sa famille.Le coupable était McClain (Van Cleef), un hors-la-loi sadique qui a réalisé le viol-massacre brutal, mais son rôle est mineur, car la plupart du film traite de la maturation de Tom et se réconciliant avec ses sentiments.Les acteurs des personnages omniprésents des années 1970 Glynnis O'Connor et John Marley Co-star.S'il y a quelque chose de remarquable dans Kid Vengeance, c'est la fine score musicale de Francesco Masi, mais le film est autrement anémique.",1977,Western
Le due facce del dollaro,"Un enseignant, un tireur, un ex-colonel et une belle fille décident de voler une grande charge d'or stockée à Fort Henderson.La tâche n'est pas facile, car le fort est très bien gardé, mais avec des stratagèmes aventureux ...",1967,Western
"North and South, Book I","Deux amis, un nord et un sud, ont du mal à maintenir leur amitié à mesure que les événements se construisent vers la guerre civile américaine.",1985,Western
Fu Zi,"Après que sa mère fuit la maison familiale, un fils se tourne vers le voleur afin de soutenir son père, un type abusif qui est accro au jeu.",2006,Romance
さらば夏の光,"La configuration ici est un couple.Ils sont tous les deux japonais.Elle est mariée à un Européen, est hantée par la bombe de Nagasaki qui a tué son père.Les deux sont amoureux.",1968,Romance
Dirty Dancing,"Passer l'été dans une station balnéaire de Catskills avec sa famille, Frances ""Baby"" Houseman tombe amoureuse de l'instructeur de danse du camp, Johnny Castle, et rien n'est jamais le même pour quiconque dans la famille Houseman.Non seulement les chansons mémorables du film original sont incluses, mais il y a des chansons supplémentaires de l'époque qui seront présentées, ce qui montre le double du nombre de performances musicales de la distribution stellaire.",2017,Romance
Love on the Run,Une mariée en fuite et un journaliste infiltré se font prendre dans l'intrigue politique alors qu'ils mènent une joyeuse poursuite à travers l'Europe et découvrent un complot d'espion.,1936,Romance
Counting Backwards,"Pour certains, les vies que nous avons ne sont pas toujours la vie que nous voulions.Pour Joe, un petit gars de la petite ville de Sandwich, dans l'Illinois, le sien n'est même pas proche - jusqu'à présent.Face à la mort et ayant récemment rencontré la fille de ses rêves, Claire, Joe doit trouver un moyen de vivre la vie de la passion qu'il avait toujours voulu, et il doit le faire rapidement.Journey avec Joe vers le Grand Beyond, pas à moitié aussi imaginatif que le chemin qu'il a finalement forgé ici sur Terre.Roulez avec lui alors qu'il est obligé de comprendre le sens de la vie qu'il n'aura pas le temps de vivre.Avec l'aide de son meilleur ami, Frank, et sa mère brillante, sinon terrifiée, Sarah, Joe apprendra enfin à vivre, à aimer et à explorer au-delà de ses rêves les plus fous.Et nous pourrons regarder le voyage d'un homme se dérouler, dès le premier jour du reste de sa vie.",2007,Romance
Moonlight and Cactus,"Les sœurs d'Andrews swing offrent les interludes musicaux et la romance dans cet occidental.Ils jouent un trio d'éleveurs de l'ère de la Seconde Guerre mondiale.Qu'ils soient si doués pour courir, cela s'avère terrible pour une main de ranch qui vient de rentrer chez elle après avoir servi dans la Marine.",1944,Western
Exponerad,La jeune Lena est piégée dans une situation complexe de sexe et de mensonges.,1971,Romance
Conagher,"Mme Evie Teale a du mal à rester en vie tout en élevant ses deux enfants seuls sur une propriété isolée.Conn Conagher est un cow-boy honnête et travailleur.Leurs vies sont liées à la lutte contre les éléments, les Indiens, les hors-la-loi et la solitude.",1991,Western
คิดถึงวิทยา,"Il suit l'histoire de deux professeurs solitaires, d'un homme (chanson) et d'une femme (Ann).Ils ont été affectés à la même école rurale dans la région de Chiang Mai, mais à un an d'intervalle.La fille étant attribuée en premier, a tenté d'écrire ses pensées dans un journal, coincé dans des boonies.Un jour, elle doit être transférée dans une autre école et a quitté le journal.L'enseignant masculin est venu comme un substitut et a vu le journal, ainsi, tomber amoureux de l'écrivain inconnu.Il y a également écrit ses pensées.Le gars est également parti et la dame est revenue et a vu qu'il y avait des articles supplémentaires dans le journal.Elle est également tombée amoureuse de lui mais a maintenant du mal à chercher le garçon.Les deux se rencontreront-ils jamais?",2014,Romance
Catch a Christmas Star,"Nikki Crandon (Shannon Elizabeth) est l'une des plus grandes stars de la pop de la planète.Qu'elle chante l'hymne national ou qu'elle fait la promotion de son dernier album, tout le monde sait qui elle est - non plus que l'entraîneur de basket-ball du New Jersey et le veuf Chris Mitchell (Steve Byers), qui a été le premier amour de Nikki au lycée.Lorsque la fille de 10 ans de Chris, Sophie (Julia Lalonde), découvre que son père a encore des sentiments pour la chanteuse, elle prend les choses en main.Avec son frère de 8 ans, Jackson (Kyle Breitkopf), Sophie réussit à réunir les deux.Mais quand un malentendu et l'éblouissement croissant des projecteurs publics menacent le bonheur de Chris et Nikki, on ne peut que se demander: la renommée va-t-elle gêner un joyeux Noël?",2013,Romance
Man Without a Star,L'homme sans star est un film occidental de 1955 avec Kirk Douglas en tant que vagabond qui est entraîné dans une guerre de la gamme.Il était basé sur le roman du même nom de Dee Linford.,1955,Western
Perdiendo el Norte,"Deux jeunes espagnols, avec une éducation universitaire, sont fatigués du chômage et décident de déménager en Allemagne.Mais bientôt, ils découvriront que trouver une meilleure vie n'est pas aussi facile que prévu.",2015,Romance
The Far Country,"En 1896, Jeff Webster considère le début de la ruée vers l'or de Klondike comme une occasion en or de faire fortune en bœuf ... et malheur à quiconque se tenant sur son chemin!Il conduit un troupeau de bétail du Wyoming à Seattle, par navire à Skagway, et (après un retard causé par le patron de la ville larcène Gannon) à travers les montagnes à Dawson.Là, lui et son partenaire Ben Tatum entrent eux-mêmes dans le secteur de l'or.Deux femmes charmantes tombent amoureuses de Jeff Misanthropic, mais il croit en tout homme pour lui-même, tournant le dos à la croissance de l'anarchie ... jusqu'à ce qu'elle se rend enfin à la maison.",1955,Western
Santa Fe,"Après leur service dans la guerre civile, quatre frères se séparent, mais se retrouvent plus tard sur les côtés opposés d'une confrontation finale.",1951,Western
Snapdragon,Un amnésique érotique attire un psychologue de la police dans un monde de luxure et de danger.,1993,Romance
Rose Marie,"La chanteuse d'opéra, Marie de Flor, cherche un frère fugitif dans le désert canadien.Au cours de son trek, elle rencontre un gendarme canadien, le Sgt.Bruce, qui cherche également son frère.La romance s'ensuit, résultant en plusieurs duos d'amour entre les deux.",1936,Western
The Way We Live Now,"La façon dont nous vivons maintenant est une adaptation télévisée en quatre parties en quatre parties du roman d'Anthony Trollope comme nous vivons maintenant.La série a été diffusée pour la première fois sur la BBC et a été dirigée par David Yates, écrite par Andrew Davies et produite par Nigel Stafford-Clark.David Sucht a joué au rôle d'Auguste Melmotte, avec Shirley Henderson comme sa fille Marie, Matthew Macfadyen dans le rôle de Sir Felix Carbury, Cillian Murphy en tant que Paul Montague et Miranda Otto en tant que Mme Hurtle.",2001,Romance
同桌的妳,"À l'été 1993, Timid et Shy Zhou Xiao Zhi rencontrent son partenaire de table.Assis dans la tristement célèbre rangée de la classe est le fauteur de troubles Lin Yi.Ils passent par des années de lycée, de lycée et de collège ensemble.Lin Yi a dit à Zhou Xiaozhi: ""Un jour, je vous emmènerai dans un endroit qui ne nous appartient que.""Avance rapide dix ans ...",2014,Romance
Man with the Gun,"Un étranger vient en ville à la recherche de sa femme éloignée.Il la trouve diriger les filles locales.Il trouve également une ville et un shérif qui ont peur de leur propre ombre, effrayé d'un propriétaire foncier, ils ne voient jamais qui gouverne ses acolytes tapageurs.L'étranger est un dompteur de ville de métier, et il accepte une commission de 500 $ pour régler les choses.",1955,Western
귀,"Seo-hee, nam-hee et lan.Ces trois filles lisent leurs cartes de tarot.Les cartes de tarot leur disent que des opportunités une fois dans la vie se présenteront à chacun d'eux simplement en tenant des cartes de tarot et en chantant des sorts magiques.Et les sorts magiques ne sont que leurs propres noms!Une fois leurs noms dirigés, des événements très spéciaux commencent à se dérouler.",2010,Romance
Les voleurs de la nuit,Une histoire de crime qui se déroule à Paris sur un couple Bonnie-and-Clyde - comment ils se sont réunis et comment ils sont poursuivis pour un meurtre qu'ils n'ont jamais commis.,1984,Romance
The Cutting Edge 3: Chasing the Dream,"Un patineur de glace de classe mondiale désireux de remporter le premier prix de la plus grande compétition autour de ses rêves en flammes après que son partenaire subisse une blessure débilitante dans ce drame sportif romantique avec Matt Lanter, Francia Rosa et Christy Carlson Romano.Zack (Lanter) se dirigeait vers l'or lorsque son partenaire a subi une blessure qui a rendu la compétition impossible, mais une joueuse de hockey fougueuse pourrait-elle prouver la clé pour garder sa carrière illustre sur la bonne voie?Alexandra est un joueur de hockey latina amateur qui n'a jamais patiné de manière professionnelle et ne s'occupe pas beaucoup de Zack, bien qu'un peu de détermination contribue grandement à l'aider à la convaincre de le rejoindre sur la glace.Maintenant, alors que cette paire improbable commence le processus de formation ardu qui pourrait en faire tous les deux des superstars de bonne foi, la fille avec l'attitude glacée trouve la chaleur et le charme de son beau partenaire provoquant un dégel des plus inattendu.",2008,Romance
The Telegraph Trail,Un homme d'affaires avides devenu renigade promène un soulèvement indien contre le télégraphe à venir pour perpétuer son emprise économique sur le territoire.,1933,Western
Mille dollari sul nero,"Johnny Liston vient d'être libéré de prison où il a purgé à tort douze ans pour un meurtre.Il revient à Campos, le village de sa naissance, où toute la ville est terrorisée par le frère de Johnny, Sartana, qui a pris Manuela, la fiancée de Johnny pour être son amant.Avec son seul ami muet, Johnny doit saisir toutes les opportunités de découvrir pourquoi il a été encadré, qui était impliqué et pourquoi il n'est pas le bienvenu.Source: swdb www.spaghetti-esttern.net",1966,Western
Tom Horn,Un ancien scout de l'armée renommé est embauché par des éleveurs pour traquer les rouilleurs mais se retrouve en jugement pour le meurtre d'un garçon lorsqu'il accomplit trop bien son travail.Tom Horn constate que les compétences simples qu'il connaît ne contribuent pas à faire face aux ambitions des éleveurs et des fonctionnaires corrompus alors que les progrès marchent sur lui et le vieil ouest.,1980,Western
Unterwegs,Un jeune homme légèrement sinistre mais charmant tombe avec une jeune mère et sa fille et son petit ami en vacances en camping et les amortissent.,2004,Romance
Undercover Bridesmaid,"Un garde du corps doit aller sous couverture pour protéger, la fille d'un magnat contre les menaces de mort avant son grand jour de mariage.",2012,Romance
Per qualche dollaro in più,"Deux chasseurs de primes sont à la recherche de ""El Indio"", l'un des fugitifs les plus recherchés des territoires occidentaux et de son gang.",1965,Western
Guns of the Magnificent Seven,"Dans ce troisième remake de la réalisatrice japonaise légendaire, la réalisatrice japonaise, Akira Kurosawa, les Sept Samurai, les sept Gunslingers (George Kennedy, Michael Ansara, Joe Don Baker, Bernie Casey, Monte Markham, Fernando Rey et Reni Santoni) libérer les prisonniers politiques mexicains, les former en tant que telLes combattants et les aident dans une attaque désespérée contre une forteresse mexicaine pour tenter de libérer un leader révolutionnaire.",1969,Western
Robin Hood,"Encore une autre version de l'épopée classique, avec suffisamment de variation pour le rendre intéressant.L'histoire est la même, mais certains des personnages sont très différents de l'habituel, en particulier de Maian très spéciale d'Uma Thurman.La photographie est également géniale, donnant à l'histoire un ton quelque peu plus sombre.",1991,Romance
A Star for Christmas,"La seule chose qui fonctionne dans le monde de Cassie est son entreprise de petite ville.Son cupcakery de Noël est un énorme succès, mais sa vie amoureuse est un gâchis.L'univers entier de Cassie est bouleversé lorsqu'elle tombe amoureuse d'un collègue qui se révèle être l'acteur célèbre et notoirement troublé Alex Gray.On ne peut nier qu'Alex et Cassie sont amoureux, mais leur relation peut-elle survivre à la pression d'Hollywood et des vacances?",2012,Romance
Texas Terror,Le shérif John Higgins quitte et se lance dans la prospection après avoir pensé qu'il a tué son meilleur ami en le tirant avec des voleurs.Il rencontre la sœur de son copain mort et l'aide à gérer son ranch.Puis elle découvre son passé.,1935,Western
The Gift,Un emballage cadeau de grands magasins est un spectateur solitaire au centre de la saison des fêtes jusqu'à ce qu'un magicien de scène fasse une demande surprenante.,2014,Romance
Texas Across the River,"Le mariage en Louisiane de la débutante Phoebe Ann Naylor à Don Andrea de Baldasar, El Duce de la Casala est arrêté par la cavalerie pour une question d'honneur.Don Andrea s'enfuit à travers la rivière jusqu'au Texas, où il rencontre Sam Hollis et son acolyte indien, Kronk, qui transporte des fusils dans la ville de Moccasin Flats.Don Andrea sauve une jeune fille indienne, Lonetta, apprivoile certains Longhorns, rivalise avec Sam pour les affections de Phoebe, échappe à une fête de guerre Comanche et à la cavalerie (qui est venue à Moccasin Flats pour célébrer l'État du Texas) et finalement sauve la ville et obtient sa fille.",1966,Western
Il grande silenzio,"Un gunslinger muet se bat dans la défense d'un groupe de hors-la-loi et d'une jeune veuve vengeante, contre un groupe de chasseurs de primes impitoyables.",1968,Western
The Cutting Edge: Fire & Ice,"Alexandra ""Alex"" Delgado, une patineuse artistique, a trouvé que sa carrière s'est arrêtée brutale après que son partenaire (sur et hors de la glace) s'est blessé.Alors que leur histoire d'amour se refroidissait, un Alex au cœur brisé a cessé de concurrencer et s'est tourné vers l'enseignement.Entrez James Van Behr, le patin de Speed ​​Bad Boy of Speed, qui a fait fier Alex en vigueur en tant que partenaire de patinage depuis qu'il a été interdit de patinage de vitesse.Il n'y a pas beaucoup de filles qui lui disent non, mais elle pourrait bien être la première.Cependant, il pousse ses boutons, la défier comme personne d'autre - et son esprit de combat revient.Elle accepte d'être son partenaire et ils commencent un régime de pratique exténuant alimenté (et parfois déraillé) par leur propre relation tumultueuse, ce qui se réchauffe à mesure qu'ils se rapprochent de la compétition.Mais leur passion détruira-t-elle la chance d'Alex de ramener à nouveau l'or à la maison?",2010,Romance
Providence,"Rachel Cartwright et Mitchell Little grandissent dans la petite ville de Providence, Tennessee.Leurs chemins continuent de se croiser et à un moment donné, il semble qu'ils se réuniront enfin.Mais l'opportunité s'échappe et ils se séparent.Cela prend une tragédie plusieurs années plus tard avant de se réunir.Cette fois, laisseront-ils passer le moment ou vont-ils enfin surmonter leurs insécurités et se connecter avec leur âme sœur?Cette belle romance est racontée au style de cinéma silencieux, utilisant uniquement une action dramatique et une bande originale de musique indépendante éclectique pour représenter ce voyage émotionnel d'amour.",2016,Romance
Thunder Over the Plains,"Situé en 1869, après la guerre civile, le Texas n'avait pas encore été réadmis à l'Union et aux tapis de tapis, se cachant derrière la protection juridique de l'armée de l'occupation de l'Union, avait repris l'État.Le capitaine fédéral Porter (Randolph Scott), un Texan, doit mener des ordres contre son propre peuple.Il amène le chef rebelle Ben Westman, (Charles McGraw), qu'il sait être innocent d'un meurtre dont il est accusé.En essayant de prouver son innocence, Porter lui-même devient un homme recherché.",1953,Western
Zanna Bianca e il cacciatore solitario,"Courageux Alaska Canine White Fang et Daniel, son maître de piqûre de fourrure sont assaillis par les loups et aident plus tard à sauver une veuve qui est obligée d'épouser un homme qu'elle méprise.",1975,Western
Lust for Gold,"Un mineur néerlandais (Glenn Ford) et un vieux couple West (Ida Lupino, Gig Young) meurent en se battant pour une mine d'or en Arizona perdue dans un tremblement de terre.",1949,Western
The Professionals,"The Professionals est un film American Western de 1966 réalisé par Richard Brooks.Une aventure de sauvetage kidnape vers 1917, il présente un petit groupe d'experts avant le Mexique pour libérer l'épouse d'origine mexicaine d'un riche texan de plusieurs centaines de bandits.Le film est basé sur le roman A Mule for the Marquesa de Frank O'Rourke.",1966,Western
Vysota,"L'histoire romantique se déroule lors de la construction d'un énorme haut fourneau qui fournira des milliers d'emplois dans une communauté déprimée.Alors que les citoyens locaux se rassemblent pour assembler la fournaise en un temps record, plusieurs romans se développent.En contraste, l'un des travailleurs est abandonné dans son devoir, souffrant puissamment en conséquence.Basé sur un roman de Yevgeni Vorobyov.",1957,Romance
Lucky Luke,"Le pistolet intrépide, Lucky Luke, est ordonné par le président pour apporter la paix à Daisy Town.",2009,Western
Plan Bart,"Écrit par Roel Mondelaers et Hans Van Nuffel, Plan Bart est une comédie romantique sur les désirs concurrents - sacrifier ses rêves d'enfance pour les responsabilités de l'âge adulte, les championnats de guitare aérienne pour les couches et les bouteilles, `` avoir des relations sexuelles '' avec `` Making Love ''.",2014,Romance
Choo,"Dhep (Andy-Watchra Thungkaprasert) est un photographe itinérant sur le chemin du retour pour aborder des problèmes non résolus entre son père et lui-même.Mais, sur le chemin du retour sur l'île, il rencontre Riam (Helen Nima) à la jetée, et tombe rapidement amoureux d'elle - avant d'apprendre qu'elle est son père, Cheng (Sorapong Chatree), nouvelle épouse.Le séjour de DHEP chez eux le familiarise avec les problèmes entre son père et sa belle-mère violents et sadiques, alors il essaie de soigner Riam avec gentillesse de la faire se sentir mieux.Mais l'amour interdit se soulève à nouveau la tête, et la paire décide de l'essayer.",2004,Romance
Buck and the Preacher,Un maître de wagon et un prédicateur de con-ou aident les esclaves libérés obstinément par des agents de laboratoire bon marché à l'ouest.,1972,Western
Django il bastardo,Un soldat de l'Union revient d'entre les morts pour se venger de trois officiers qui ont trahis son unité au combat.,1969,Western
Night Passage,"Grant MacLaine, un ancien dépanneur de chemin de fer, a perdu son emploi après avoir laissé son frère hors-la-loi, l'Utica Kid, s'échapper.Après avoir passé cinq ans à errer dans l'Ouest et à gagner sa vie en jouant l'accordéon, il a une deuxième chance de son ancien patron.",1957,Western
Sing yuet tung wa,"À la veille de son mariage japonais, Hitomi (Takako Tokiwa) perd son fiancé, Tatsuya, à un accident de voiture.Elle se rend à Hong Kong à la recherche de réconfort et rencontre le flic infiltré Karbo - une sonnerie morte pour Tatsuya.Le duo est obligé de le prendre sur le lam quand un collègue corrompu encadre Karbo, et Hitomi se retrouve bientôt déchirée entre son amour pour Tatsuya et ses sentiments fleurissants pour son collègue fugitif.Leslie Cheung joue Tatsuya et Karbo.",1999,Romance
Amar te duele,"Renata est une jeune fille de haute classe et Ulises est un pauvre gars.Ils tombent tous les deux amoureux, mais ils doivent lutter contre tout le monde, spécialement les parents riches de Renata, qui veulent arrêter leur amour en l'envoyant au Canada.L'histoire remarque la différence entre les classes sociales à Mexico, et leurs personnages risquent tout juste pour sauver leur amour.",2002,Romance
Kvinnorna på taket,"Une fille innocente et belle, Linnea loue un appartement à Stockholm juste avant la Première Guerre mondiale.Alors qu'elle travaille pour un vieil homme qui possède un studio de photographie, elle rencontre Anna, une photographe avec qui elle développe une amitié complexe.Le petit ami de cirque-performant d'Anna et la politique européenne compliquent la routine de Linnea.",1989,Romance
Between Us,"Le couple de longue date Henry et Dianne ont peur que s'ils finissent par faire le nœud, cela signifierait la fin de leurs jours en tant qu'urbanites à l'esprit libre.Mais une nuit tourbillonnante à part impliquant des tentations d'un duo d'étrangers leur fera comprendre pourquoi ils sont ensemble en premier lieu ou enfin les séparer pour toujours.",2016,Romance
A Man Called Horse,"En 1825, un aristocrate anglais est capturé par des Indiens.Il vit avec eux et commence à comprendre / accepter leurs modes de vie.Finalement, il est accepté comme faisant partie de la tribu et devient leur chef.",1970,Western
Kincsem,Le nouveau propriétaire d'un brillant cheval de course trouve l'amour tout en réalisant sa vengeance sur l'homme qui a assassiné son père.,2017,Romance
Broadway Thru a Keyhole,"Le racket Frank Rocci est frappé par Joan Whelan, danseuse du célèbre spot de nuit de Broadway au Texas Guinan.Il utilise son influence pour l'aider à jouer un rôle principal dans le spectacle, en espérant que cela amènera également Joan à tomber amoureux de lui.Après avoir marqué un coup, Joan accepte la proposition de mariage de Frank, plus de gratitude que d'amour.La situation devient encore plus collante lorsqu'elle tombe amoureux d'un beau chef de groupe lors d'un voyage en Floride.Peut-elle dire à Frank qu'elle est amoureuse de quelqu'un d'autre?",1933,Romance
No Skin Off My Ass,"Un coiffeur solitaire regarde la séquence de titre de ""This Cold Day in the Park"", puis visite un parc local pour inviter un skinhead en bas à son appartement.Il attire l'homme silencieux un bain et lui parle alors qu'il trempe.Il verrouille son invité dans une chambre.Le lendemain, le Skinhead part par la fenêtre et visite sa sœur, qui réalise un film intitulé ""Sisters of the SLA"".Il aide à un test d'écran.Le coiffeur a des rêves et des fantasmes impliquant le skinhead, le skinhead revient pour lui rendre visite, puis le cinéaste paie les deux hommes, exposant son frère comme simulant son silence et prétendant un manque d'intérêt sexuel.Les fantasmes peuvent se réaliser.",1991,Romance
The Telephone Book,"L'histoire d'une journée dans la vie d'une jeune femme solitaire, sensible, exhruée et attrayante.Ses exploits, rencontres et frustrations alors qu'elle tente de trouver une personne ""spéciale"", un appelant qui a une ""classe"", comme elle le dit.",1971,Romance
Ani Ohev Otach Rosa,"Cette histoire se concentre sur la pratique juive qui oblige un frère célibataire à épouser la veuve sans enfant de son frère décédé.Dans cette histoire, le frère cadet n'a que 12 ans lorsque son frère décède.L'exigence est évitée par une fiction juridique, mais au fil du temps dans l'histoire, la situation change.",1972,Romance
Ofitsery,"Deux amis sont des officiers de l'armée, et les temps turbulents les jettent de la guerre civile au début des années 20 au conflit soviétique en Finlande, de la Chine à l'Oural.",1971,Romance
The Virginian,Un cow-boy de bonne humeur qui romance le nouveau maître d'école a une crise de conscience lorsqu'il découvre que son meilleur ami est engagé dans le bruissement du bétail.,1929,Western
너는 펫,"Une femme trouve un homme dans une boîte devant sa maison et l'emmène. Elle dit en plaisantant qu'elle veut le garder comme son animal de compagnie car l'homme rappelle son chien d'enfance.L'homme est d'accord.Plus tard, la femme découvre que l'homme est prodige de la danse.Des complications surviennent lorsque son ancienne flamme du collège apparaît.",2011,Romance
No Entry,"Kishen est un baron du journal marié à Kaajal, une femme au foyer qui soupçonne son mari d'avoir de nombreuses affaires inexistantes.Pooja est l'épouse croyante de l'homme d'affaires de globe-trotter en constante évolution Prem.Kishen et Prem sont des copains épais.Sanjana tombe amoureuse du fidèle photographe de Prem Sunny et ils se fiancent.Kishen se lasse de sa femme jalouse et essaie d'avoir une liaison avec Bobby, une call-girl.En raison des circonstances, Bobby est présenté comme l'épouse de Kishen lors du mariage de Sanjana et en tant que femme de Sunny à Kaajal.Cela devient un paquet de confusions lorsque les trois couples se rencontrent.",2005,Romance
Way Out West,"Stan et Ollie essaient de livrer l'acte à une précieuse mine d'or à la fille d'un prospecteur mort.Malheureusement, le mauvais gardien de la fille est déterminé à avoir la mine d'or pour lui-même et sa femme de salon-singer.",1937,Western
Долгая счастливая жизнь,Un jeune homme et une femme se rencontrent par hasard et éprouvent une nuit et une matinée ensemble.L'une des représentations les plus vraies et réalistes de la romance et de la vie russes.,1966,Romance
Cal,"Cal, un jeune homme en marge de l'IRA, tombe amoureux de Marcella, une femme catholique dont le mari, un policier protestant, a été tué un an plus tôt par l'IRA.",1984,Romance
Zarim,"Six jours dans la vie d'un Israélien vivant dans un kibboutz et un Palestinien vivant à Paris, qui commence par une réunion accidentelle dans le métro de Berlin pendant les finales de la Coupe du monde, les changera complètement.",2007,Romance
